Model,Name,MSE,MAE,Sparsity,Turnover,FitTime_s,DM_stat,DM_pvalue,MCS_rank,DM_log10_p
1,VAR,9.757763009944576e-05,0.007684799285741228,1.952311536859642e-05,3.050801047355822,1.2,,,6,
2,Sparse VAR,2.2897753715766565e-05,0.00356807699475456,0.989696133555463,0.2403205669644286,5.9,-40.01477052196851,0.0,5,-349.39277422533627
3,Sparse VARX,2.2548206307113606e-05,0.0035417905723224767,0.9719258589511754,0.28274785112258943,7.7,-40.271339022735106,0.0,3,-353.8685379566778
4,Network VARX,2.115914560081098e-05,0.0034357668635717916,0.9893438388013434,0.35444600523734415,10.6,-41.26726539381883,0.0,1,-371.51289062955453
5,Network+Smooth,2.1868810277365022e-05,0.0035246317708205136,0.9729936278308792,0.4173089721917565,18.0,-41.77540098692165,0.0,2,-380.6811473281944
6,DFL VARX,2.278827668449731e-05,0.003617536076105299,,0.37152345727291974,,-40.26196309915676,0.0,4,-353.7044747028181
7,LSTM,0.007799800329665266,0.0324037968058348,,11.625347782587852,370.7,2.432003440535707,0.015015564681456262,7,-1.8234583309022832
