model,model_id,fold,LAMBDA_LASSO,lasso_lambda,LAMBDA_NETWORK,MSE,Turnover_econ,Turnover_seq,Sparsity,n_alive,Density,FitTime_s,LAMBDA_EXOG,self_free,NETWORK_THRESHOLD,USE_LAST_DAY,LAMBDA_TURNOVER
M3,3,2,0.0001,0.0001,0.0,2.123814035709913e-05,1.2472672150600337,0.5126626614838925,0.8015370705244123,92190,,27.09382152557373,0.0001,False,,,
M3,3,3,0.0001,0.0001,0.0,1.781884977202753e-05,1.1433486569772355,0.4405626632282019,0.8087854128993369,88823,,28.700677156448364,0.0001,False,,,
M3,3,1,0.0001,0.0001,0.0,2.3459203703784306e-05,1.3259634531760378,0.5737227439759938,0.7996835443037975,93051,,25.281949996948242,0.0005,False,,,
M3,3,2,0.0001,0.0001,0.0,2.1153485396289927e-05,1.2442571094396082,0.5126386275471598,0.8018427624214243,92048,,29.578036546707153,0.0005,False,,,
M3,3,3,0.0001,0.0001,0.0,1.7779307004711326e-05,1.1403359922128347,0.44020966415251456,0.8092138121071213,88624,,25.146632432937622,0.0005,False,,,
M3,3,1,0.0001,0.0001,0.0,2.3459203703784306e-05,1.3259634531760378,0.5737227439759938,0.7996835443037975,93051,,23.12773871421814,0.001,False,,,
M3,3,2,0.0001,0.0001,0.0,2.1153485396289927e-05,1.2442571094396082,0.5126386275471598,0.8018427624214243,92048,,26.661494255065918,0.001,False,,,
M3,3,3,0.0001,0.0001,0.0,1.7779307004711326e-05,1.1403359922128347,0.44020966415251456,0.8092138121071213,88624,,24.900267839431763,0.001,False,,,
M3,3,1,0.0003,0.0003,0.0,2.1296048168723897e-05,1.2205371526506374,0.26705700474118743,0.9686472057177301,14564,,5.178989410400391,5e-05,False,,,
M3,3,2,0.0003,0.0003,0.0,2.004473820788095e-05,1.1733911339602066,0.25790814141385265,0.9699733057780074,13948,,6.408702611923218,5e-05,False,,,
M3,3,3,0.0003,0.0003,0.0,1.7070944116319016e-05,1.0923335591638927,0.23572943303950697,0.9722014122104538,12913,,7.679734706878662,5e-05,False,,,
M3,3,1,0.0003,0.0003,0.0,2.1127561110551085e-05,1.2097372793810945,0.26616669687254507,0.9694243520192888,14203,,5.638256311416626,0.0001,False,,,
M3,3,2,0.0003,0.0003,0.0,1.9716665615464526e-05,1.1568978759873643,0.2582301155791365,0.970886075949367,13524,,6.671335220336914,0.0001,False,,,
M3,3,3,0.0003,0.0003,0.0,1.6719526914148974e-05,1.0733568088519025,0.2354642954221113,0.973219667613881,12440,,8.534093618392944,0.0001,False,,,
M3,3,1,0.0003,0.0003,0.0,2.079772853562153e-05,1.1862826488473435,0.2790680192884426,0.9687010247136829,14539,,6.038854360580444,0.0005,False,,,
M3,3,2,0.0003,0.0003,0.0,1.936541684275759e-05,1.1364470846889547,0.2724576818186453,0.9701971928011711,13844,,7.757448673248291,0.0005,False,,,
M3,3,3,0.0003,0.0003,0.0,1.6485818348826494e-05,1.05254240686249,0.24807316954756675,0.971919400671661,13044,,8.059088468551636,0.0005,False,,,
M3,3,1,0.0003,0.0003,0.0,2.0799921446445298e-05,1.186255735732358,0.27928667059401907,0.9686579695169207,14559,,6.516546249389648,0.001,False,,,
M3,3,2,0.0003,0.0003,0.0,1.9373645157931204e-05,1.1365119920773048,0.27282420054692325,0.97017566520279,13854,,7.690520286560059,0.001,False,,,
M3,3,3,0.0003,0.0003,0.0,1.6492979513106937e-05,1.0527282369013675,0.24819219096213224,0.9718957203134418,13055,,7.529817819595337,0.001,False,,,
M3,3,1,0.0005,0.0005,0.0,2.2082982588157316e-05,1.2685663031181051,0.20797247040611408,0.9880650994575045,5544,,4.452082872390747,5e-05,False,,,
M3,3,2,0.0005,0.0005,0.0,2.0973453090666095e-05,1.2262386195569113,0.20828000597296267,0.9880392663394472,5556,,5.300268650054932,5e-05,False,,,
M3,3,3,0.0005,0.0005,0.0,1.788197151811437e-05,1.144504282576453,0.19611911807693397,0.9885064152243176,5339,,5.950368404388428,5e-05,False,,,
M3,3,1,0.0005,0.0005,0.0,2.1909842996846296e-05,1.257629791049145,0.2046487153906323,0.9890725910617412,5076,,4.0053534507751465,0.0001,False,,,
M3,3,2,0.0005,0.0005,0.0,2.05269914074447e-05,1.2045775597821964,0.20718132263340494,0.9891242572978558,5052,,4.7329394817352295,0.0001,False,,,
M3,3,3,0.0005,0.0005,0.0,1.7399154920710877e-05,1.1201258799029872,0.19445810875712138,0.989834668044433,4722,,5.240749835968018,0.0001,False,,,
M3,3,1,0.0005,0.0005,0.0,2.1205414242865614e-05,1.212353335860629,0.2215652443018625,0.9888659261172823,5172,,4.106834411621094,0.0005,False,,,
M3,3,2,0.0005,0.0005,0.0,1.9719347542164676e-05,1.1604758255648042,0.22607535638484805,0.9895375871867734,4860,,4.774632930755615,0.0005,False,,,
M3,3,3,0.0005,0.0005,0.0,1.6796950882072337e-05,1.0769524556852688,0.20963926357335363,0.989968139154396,4660,,5.912601470947266,0.0005,False,,,
M3,3,1,0.0005,0.0005,0.0,2.115163520576688e-05,1.208262670594176,0.22515876434414692,0.9887518298458624,5225,,4.467588663101196,0.001,False,,,
M3,3,2,0.0005,0.0005,0.0,1.9743970271308787e-05,1.1601665625313244,0.22903598305702272,0.9894428657538965,4904,,5.252018213272095,0.001,False,,,
M3,3,3,0.0005,0.0005,0.0,1.6870140689670508e-05,1.079058437594782,0.21180566158295083,0.9897722380091277,4751,,6.205074787139893,0.001,False,,,
M3a,3,1,0.0003,0.0003,0.0,1.979225091864956e-05,1.0611572216177192,0.33852965685936814,0.9782506673555498,10103,,9.431334972381592,0.0005,True,,,
M3a,3,2,0.0003,0.0003,0.0,1.8484539742517436e-05,1.0252091247016522,0.33342786377733996,0.9798716955136485,9350,,11.470696210861206,0.0005,True,,,
M3a,3,3,0.0003,0.0003,0.0,1.594776794125556e-05,0.9565619811433971,0.3071850385645374,0.9815508481873763,8570,,13.829624652862549,0.0005,True,,,
M4,4,1,0.0001,0.0001,0.0001,2.1072036773251186e-05,1.1673714353714246,0.4563583806637208,0.8981507792990614,47311,0.26569758338117855,25.379220962524414,0.0005,True,0.7,False,
M4,4,2,0.0001,0.0001,0.0001,1.9372272259837678e-05,1.1142406413129606,0.4148546312769857,0.9010871437182468,45947,0.2753275223132731,30.8565194606781,0.0005,True,0.7,False,
M4,4,3,0.0001,0.0001,0.0001,1.6468975777933473e-05,1.0244246219525575,0.3612270475859001,0.9111771290794799,41260,0.25228352210449395,31.6372389793396,0.0005,True,0.7,False,
