model,model_id,LAMBDA_LASSO,LAMBDA_EXOG,LAMBDA_NETWORK,NETWORK_THRESHOLD,lasso_lambda,self_free,USE_LAST_DAY,mean_val_mse,std_val_mse,mean_turnover_econ,mean_turnover_seq,mean_sparsity,mean_n_alive,mean_density,mean_fit_time_s
M4,4,0.0005,0.0005,0.0005,0.8,0.0005,True,False,1.809219346277956e-05,1.9200734525622087e-06,0.9871572593796455,0.33962220371074053,0.9969947472659949,1396.0,0.06993667032030203,5.024081230163574
M4,4,0.0005,0.0005,0.0005,0.8,0.0005,True,True,1.808926450224413e-05,1.918256189575707e-06,0.9875983188727143,0.33909982699372704,0.9968332902781366,1471.0,0.13855542216886754,5.118058919906616
M4,4,0.0001,0.0005,0.001,0.8,0.0001,True,False,1.825471071177567e-05,2.0912651467105456e-06,1.027889481196827,0.3587969873766026,0.9729319153821866,12573.666666666666,0.06993667032030203,10.513152122497559
M4,4,0.0001,0.0005,0.001,0.8,0.0001,True,True,1.846887003375853e-05,2.153806277221175e-06,1.0517913465253435,0.37957258124627385,0.9533611756939062,21664.666666666668,0.13855542216886754,13.77297043800354
M4,4,0.0003,0.0005,0.001,0.8,0.0003,True,False,1.8062216865689324e-05,1.9330453031719414e-06,0.9932380148246239,0.33620391772753777,0.9933429489939436,3092.3333333333335,0.06993667032030203,6.147877772649129
M4,4,0.0003,0.0005,0.001,0.8,0.0003,True,True,1.8057959133998003e-05,1.9366141893518443e-06,0.9968363165026756,0.3339716758481904,0.9913860903010994,4001.3333333333335,0.13855542216886754,6.66179625193278
M4,4,0.0005,0.0005,0.001,0.8,0.0005,True,False,1.809219346277277e-05,1.920073452553159e-06,0.9871572593797696,0.33962220371036006,0.9969947472659949,1396.0,0.06993667032030203,5.116662263870239
M4,4,0.0005,0.0005,0.001,0.8,0.0005,True,True,1.8089264502239714e-05,1.9182561895780743e-06,0.9875983188717369,0.3390998269946108,0.9968332902781366,1471.0,0.13855542216886754,5.042202790578206
M4,4,0.0001,0.0005,0.005,0.8,0.0001,True,False,1.825471071176658e-05,2.09126514670935e-06,1.0278894811978303,0.3587969873745582,0.9729319153821866,12573.666666666666,0.06993667032030203,5.440014521280925
M4,4,0.0001,0.0005,0.005,0.8,0.0001,True,True,1.8468870033758888e-05,2.1538062772251734e-06,1.0517913465249764,0.3795725812466155,0.9533611756939062,21664.666666666668,0.13855542216886754,8.010037581125895
M4,4,0.0003,0.0005,0.005,0.8,0.0003,True,False,1.806221686568967e-05,1.9330453031663417e-06,0.993238014823984,0.33620391772768693,0.9933429489939436,3092.3333333333335,0.06993667032030203,3.5761799017588296
M4,4,0.0003,0.0005,0.005,0.8,0.0003,True,True,1.8057959134010424e-05,1.936614189358396e-06,0.9968363165055051,0.3339716758461597,0.9913860903010994,4001.3333333333335,0.13855542216886754,3.9333863258361816
M4,4,0.0005,0.0005,0.005,0.8,0.0005,True,False,1.8092193462773385e-05,1.9200734525544024e-06,0.9871572593798209,0.3396222037104845,0.9969947472659949,1396.0,0.06993667032030203,3.1407371362050376
M4,4,0.0005,0.0005,0.005,0.8,0.0005,True,True,1.808926450223919e-05,1.9182561895796667e-06,0.9875983188717444,0.3390998269947021,0.9968332902781366,1471.0,0.13855542216886754,3.2328619162241616
M4,4,0.0001,0.0005,0.01,0.8,0.0001,True,False,1.825471071176658e-05,2.09126514670935e-06,1.0278894811978303,0.3587969873745582,0.9729319153821866,12573.666666666666,0.06993667032030203,5.275253375371297
M4,4,0.0001,0.0005,0.01,0.8,0.0001,True,True,1.8468870033758888e-05,2.1538062772251734e-06,1.0517913465249764,0.3795725812466155,0.9533611756939062,21664.666666666668,0.13855542216886754,7.256788889567058
M4,4,0.0003,0.0005,0.01,0.8,0.0003,True,False,1.806221686568967e-05,1.9330453031663417e-06,0.993238014823984,0.33620391772768693,0.9933429489939436,3092.3333333333335,0.06993667032030203,3.5141475200653076
M4,4,0.0003,0.0005,0.01,0.8,0.0003,True,True,1.8057959134010424e-05,1.936614189358396e-06,0.9968363165055051,0.3339716758461597,0.9913860903010994,4001.3333333333335,0.13855542216886754,3.9384068648020425
M4,4,0.0005,0.0005,0.01,0.8,0.0005,True,False,1.8092193462773385e-05,1.9200734525544024e-06,0.9871572593798209,0.3396222037104845,0.9969947472659949,1396.0,0.06993667032030203,3.145867109298706
M4,4,0.0005,0.0005,0.01,0.8,0.0005,True,True,1.808926450223919e-05,1.9182561895796667e-06,0.9875983188717444,0.3390998269947021,0.9968332902781366,1471.0,0.13855542216886754,3.206882874170939
M4,4,0.0001,0.0005,0.0001,0.85,0.0001,True,False,1.8381355935583716e-05,2.098970375656629e-06,1.0623279119395475,0.35042230548954084,0.941098338069405,27361.0,0.03001635436783409,17.4272198677063
M4,4,0.0001,0.0005,0.0001,0.85,0.0001,True,True,1.8525931293578773e-05,2.1392338326270294e-06,1.0712046590492956,0.3686494208498264,0.9315400843881857,31801.0,0.08814830279938063,18.13922651608785
M4,4,0.0003,0.0005,0.0001,0.85,0.0003,True,False,1.8042901651184706e-05,1.9197647508993106e-06,0.9981578310643396,0.3309287631128282,0.990678549900973,4330.0,0.03001635436783409,7.40929118792216
M4,4,0.0003,0.0005,0.0001,0.85,0.0003,True,True,1.804566671249526e-05,1.926681563789268e-06,0.9994121569010468,0.3308059131932291,0.9896595769109332,4803.333333333333,0.08814830279938063,7.564747174580892
