模型,变量,系数,标准误,t值,p值
全交互(东/中/西),ln_DFI,-0.02621,0.011834,-2.2149,0.027469
全交互(东/中/西),ln_DFI_east,-0.040261,0.011306,-3.5611,0.000425
全交互(东/中/西),ln_DFI_central,-0.02885,0.010784,-2.6752,0.007851
全交互(东/中/西),IS,-0.011349,0.047209,-0.2404,0.810176
全交互(东/中/西),Infra,0.022843,0.031766,0.7191,0.472605
全交互(东/中/西),Gov,0.00523,0.1137,0.046,0.96334
全交互(东/中/西),Open,-0.042371,0.597735,-0.0709,0.943533
全交互(东/中/西),HC,-0.503966,0.258172,-1.9521,0.051798
