模型,变量,系数,标准误,t值,p值
第一阶段,IV,-0.474576,0.128781,-3.6851,0.000269
第一阶段,IS,-0.31038,0.215793,-1.4383,0.151341
第一阶段,Infra,-0.004421,0.131344,-0.0337,0.973173
第一阶段,Gov,-0.054738,0.445586,-0.1228,0.902308
第一阶段,Open,1.96233,1.99038,0.9859,0.32494
第一阶段,HC,0.089567,0.870219,0.1029,0.918089
