模型,变量,系数,标准误,t值,p值
(1)仅DFI,ln_DFI,-0.056217,0.005761,-9.7577,0.0
(2)全控制,ln_DFI,-0.029574,0.013116,-2.2548,0.024816
(2)全控制,IS,-0.029519,0.051581,-0.5723,0.567527
(2)全控制,Infra,0.002876,0.032953,0.0873,0.9305
(2)全控制,Gov,-0.004951,0.124273,-0.0398,0.968246
(2)全控制,Open,0.174637,0.684363,0.2552,0.798744
(2)全控制,HC,-0.713868,0.285212,-2.5029,0.012809
